;Date;Month;Lac;sampleID
ANN0121;19/01/21;January;Annecy;Ann01
ANN0221;09/02/21;February;Annecy;Ann02
ANN0321;09/03/21;March;Annecy;Ann03
ANN0421;01/04/21;April;Annecy;Ann04
ANN0521;15/04/21;April;Annecy;Ann05
ANN0621;04/05/21;May;Annecy;Ann06
ANN0721;18/05/21;May;Annecy;Ann07
ANN0821;02/06/21;June;Annecy;Ann08
ANN0921;23/06/21;June;Annecy;Ann09
ANN1021;20/07/21;July;Annecy;Ann10
ANN1121;19/08/21;August;Annecy;Ann11
ANN1221;08/09/21;September;Annecy;Ann12
ANN1321;11/10/21;October;Annecy;Ann13
ANN1421;24/11/21;November;Annecy;Ann14
ANN1521;13/12/21;December;Annecy;Ann15
LEM0121;26/01/21;January;Leman;Lem01
LEM0221;16/02/21;February;Leman;Lem02
LEM0321;02/03/21;March;Leman;Lem03
LEM0421;16/03/21;March;Leman;Lem04
LEM0521;20/04/21;April;Leman;Lem05
LEM0621;03/05/21;May;Leman;Lem06
LEM0721;19/05/21;May;Leman;Lem07
LEM0821;01/06/21;June;Leman;Lem08
LEM0921;14/06/21;June;Leman;Lem09
LEM1021;07/07/21;July;Leman;Lem10
LEM1121;21/07/21;July;Leman;Lem11
LEM1221;09/08/21;August;Leman;Lem12
LEM1321;02/09/21;September;Leman;Lem13
LEM1421;15/09/21;September;Leman;Lem14
LEM1521;27/09/21;September;Leman;Lem15
LEM1621;19/10/21;October;Leman;Lem16
LEM1721;16/11/21;November;Leman;Lem17
LEM1821;06/12/21;December;Leman;Lem18
